games,event,team,pos,medal,as,athlete_id,noc_x,discipline,nationality_x,roles,sex,full_name,used_name,born,died,noc_y,measurements,affiliations,nickpetnames,titles,other_names,nationality_y,original_name,name_order
1912 Summer Olympics,"Singles, Men (Olympic)",,=17,,Jean-François Blanchy,1,FRA,Tennis,,Competed in Olympic Games,Male,"François Joseph Marie Antoine ""Jean-François""•Blanchy",Jean-François•Blanchy,"12 December 1886 in Bordeaux, Gironde (FRA)","2 October 1960 in Saint-Jean-de-Luz, Pyrénées-Atlantiques (FRA)",France,,,,,,,,
1912 Summer Olympics,"Doubles, Men (Olympic)",Jean Montariol,DNS,,Jean-François Blanchy,1,FRA,Tennis,,Competed in Olympic Games,Male,"François Joseph Marie Antoine ""Jean-François""•Blanchy",Jean-François•Blanchy,"12 December 1886 in Bordeaux, Gironde (FRA)","2 October 1960 in Saint-Jean-de-Luz, Pyrénées-Atlantiques (FRA)",France,,,,,,,,
1920 Summer Olympics,"Singles, Men (Olympic)",,=32,,Jean-François Blanchy,1,FRA,Tennis,,Competed in Olympic Games,Male,"François Joseph Marie Antoine ""Jean-François""•Blanchy",Jean-François•Blanchy,"12 December 1886 in Bordeaux, Gironde (FRA)","2 October 1960 in Saint-Jean-de-Luz, Pyrénées-Atlantiques (FRA)",France,,,,,,,,
1920 Summer Olympics,"Doubles, Mixed (Olympic)",Jeanne Vaussard,=8,,Jean-François Blanchy,1,FRA,Tennis,,Competed in Olympic Games,Male,"François Joseph Marie Antoine ""Jean-François""•Blanchy",Jean-François•Blanchy,"12 December 1886 in Bordeaux, Gironde (FRA)","2 October 1960 in Saint-Jean-de-Luz, Pyrénées-Atlantiques (FRA)",France,,,,,,,,
1920 Summer Olympics,"Doubles, Men (Olympic)",Jacques Brugnon,4,,Jean-François Blanchy,1,FRA,Tennis,,Competed in Olympic Games,Male,"François Joseph Marie Antoine ""Jean-François""•Blanchy",Jean-François•Blanchy,"12 December 1886 in Bordeaux, Gironde (FRA)","2 October 1960 in Saint-Jean-de-Luz, Pyrénées-Atlantiques (FRA)",France,,,,,,,,
1996 Summer Olympics,"Singles, Men (Olympic)",,=17,,Arnaud Boetsch,2,FRA,Tennis,,Competed in Olympic Games,Male,Arnaud Benjamin•Boetsch,Arnaud•Boetsch,"1 April 1969 in Meulan, Yvelines (FRA)",,France,183 cm / 76 kg,"Racing Club de France, Paris (FRA)",,,,,,
1996 Summer Olympics,"Doubles, Men (Olympic)",Guillaume Raoux,=17,,Arnaud Boetsch,2,FRA,Tennis,,Competed in Olympic Games,Male,Arnaud Benjamin•Boetsch,Arnaud•Boetsch,"1 April 1969 in Meulan, Yvelines (FRA)",,France,183 cm / 76 kg,"Racing Club de France, Paris (FRA)",,,,,,
1924 Summer Olympics,"Singles, Men (Olympic)",,4,,Jean Borotra,3,FRA,Tennis,,Competed in Olympic Games • Administrator,Male,Jean Laurent Robert•Borotra,Jean•Borotra,"13 August 1898 in Biarritz, Pyrénées-Atlantiques (FRA)","17 July 1994 in Arbonne, Pyrénées-Atlantiques (FRA)",France,183 cm / 76 kg,"TCP, Paris (FRA)",Le Basque Bondissant (The Bounding Basque),,,,,
1924 Summer Olympics,"Doubles, Mixed (Olympic)",Marguerite Billout,=15,,Jean Borotra,3,FRA,Tennis,,Competed in Olympic Games • Administrator,Male,Jean Laurent Robert•Borotra,Jean•Borotra,"13 August 1898 in Biarritz, Pyrénées-Atlantiques (FRA)","17 July 1994 in Arbonne, Pyrénées-Atlantiques (FRA)",France,183 cm / 76 kg,"TCP, Paris (FRA)",Le Basque Bondissant (The Bounding Basque),,,,,
1924 Summer Olympics,"Doubles, Men (Olympic)",René Lacoste,3,Bronze,Jean Borotra,3,FRA,Tennis,,Competed in Olympic Games • Administrator,Male,Jean Laurent Robert•Borotra,Jean•Borotra,"13 August 1898 in Biarritz, Pyrénées-Atlantiques (FRA)","17 July 1994 in Arbonne, Pyrénées-Atlantiques (FRA)",France,183 cm / 76 kg,"TCP, Paris (FRA)",Le Basque Bondissant (The Bounding Basque),,,,,
1920 Summer Olympics,"Singles, Men (Olympic)",,=9,,Jacques Brugnon,4,FRA,Tennis,,Competed in Olympic Games,Male,Jacques Marie Stanislas Jean•Brugnon,Jacques•Brugnon,"11 May 1895 in Paris VIIIe, Paris (FRA)","20 March 1978 in Monaco, Monaco (MON)",France,168 cm / 64 kg,"Sporting club de Paris, Paris (FRA)",Toto,,,,,
1920 Summer Olympics,"Doubles, Men (Olympic)",Jean-François Blanchy,4,,Jacques Brugnon,4,FRA,Tennis,,Competed in Olympic Games,Male,Jacques Marie Stanislas Jean•Brugnon,Jacques•Brugnon,"11 May 1895 in Paris VIIIe, Paris (FRA)","20 March 1978 in Monaco, Monaco (MON)",France,168 cm / 64 kg,"Sporting club de Paris, Paris (FRA)",Toto,,,,,
1924 Summer Olympics,"Doubles, Men (Olympic)",Henri Cochet,2,Silver,Jacques Brugnon,4,FRA,Tennis,,Competed in Olympic Games,Male,Jacques Marie Stanislas Jean•Brugnon,Jacques•Brugnon,"11 May 1895 in Paris VIIIe, Paris (FRA)","20 March 1978 in Monaco, Monaco (MON)",France,168 cm / 64 kg,"Sporting club de Paris, Paris (FRA)",Toto,,,,,
1912 Summer Olympics,"Singles, Men (Olympic)",,=17,,Albert Canet,5,FRA,Tennis,,Competed in Olympic Games,Male,Henry Albert•Canet,Albert•Canet,"17 April 1878 in Wandsworth, England (GBR)","25 July 1930 in Paris VIIe, Paris (FRA)",France,,"TCP, Paris (FRA)",,,,,,
1912 Summer Olympics,"Doubles, Mixed (Olympic)",Marguerite Broquedis,3,Bronze,Albert Canet,5,FRA,Tennis,,Competed in Olympic Games,Male,Henry Albert•Canet,Albert•Canet,"17 April 1878 in Wandsworth, England (GBR)","25 July 1930 in Paris VIIe, Paris (FRA)",France,,"TCP, Paris (FRA)",,,,,,
1912 Summer Olympics,"Doubles, Men (Olympic)",Édouard Mény de Marangue,3,Bronze,Albert Canet,5,FRA,Tennis,,Competed in Olympic Games,Male,Henry Albert•Canet,Albert•Canet,"17 April 1878 in Wandsworth, England (GBR)","25 July 1930 in Paris VIIe, Paris (FRA)",France,,"TCP, Paris (FRA)",,,,,,
1992 Summer Olympics,"Singles, Men (Olympic)",,=33,,Nicolas Chatelain,6,FRA,Table Tennis,,Competed in Olympic Games,Male,Nicolas•Chatelain,Nicolas•Chatelain,"13 January 1970 in Amiens, Somme (FRA)",,France,181 cm / 70 kg,"SAG Cestas, Cestas (FRA)",,,,,,
1992 Summer Olympics,"Doubles, Men (Olympic)",Patrick Chila,=17,,Nicolas Chatelain,6,FRA,Table Tennis,,Competed in Olympic Games,Male,Nicolas•Chatelain,Nicolas•Chatelain,"13 January 1970 in Amiens, Somme (FRA)",,France,181 cm / 70 kg,"SAG Cestas, Cestas (FRA)",,,,,,
1992 Summer Olympics,"Doubles, Men (Olympic)",Nicolas Chatelain,=17,,Patrick Chila,7,FRA,Table Tennis,,Competed in Olympic Games,Male,Patrick•Chila,Patrick•Chila,"27 November 1969 in Ris-Orangis, Essonne (FRA)",,France,180 cm / 73 kg,"AS Pontoise-Cergy TT, Pontoise (FRA) / Royal Villette Charleroi, Charleroi (BEL) / Espérance de Reuilly Tennis de Table, Paris (FRA) / Levallois SCTT, Levallois-Perret (FRA)",,,,,,
1996 Summer Olympics,"Singles, Men (Olympic)",,=9,,Patrick Chila,7,FRA,Table Tennis,,Competed in Olympic Games,Male,Patrick•Chila,Patrick•Chila,"27 November 1969 in Ris-Orangis, Essonne (FRA)",,France,180 cm / 73 kg,"AS Pontoise-Cergy TT, Pontoise (FRA) / Royal Villette Charleroi, Charleroi (BEL) / Espérance de Reuilly Tennis de Table, Paris (FRA) / Levallois SCTT, Levallois-Perret (FRA)",,,,,,
1996 Summer Olympics,"Doubles, Men (Olympic)",Christophe Legoût,=9,,Patrick Chila,7,FRA,Table Tennis,,Competed in Olympic Games,Male,Patrick•Chila,Patrick•Chila,"27 November 1969 in Ris-Orangis, Essonne (FRA)",,France,180 cm / 73 kg,"AS Pontoise-Cergy TT, Pontoise (FRA) / Royal Villette Charleroi, Charleroi (BEL) / Espérance de Reuilly Tennis de Table, Paris (FRA) / Levallois SCTT, Levallois-Perret (FRA)",,,,,,
2000 Summer Olympics,"Doubles, Men (Olympic)",Jean-Philippe Gatien,3,Bronze,Patrick Chila,7,FRA,Table Tennis,,Competed in Olympic Games,Male,Patrick•Chila,Patrick•Chila,"27 November 1969 in Ris-Orangis, Essonne (FRA)",,France,180 cm / 73 kg,"AS Pontoise-Cergy TT, Pontoise (FRA) / Royal Villette Charleroi, Charleroi (BEL) / Espérance de Reuilly Tennis de Table, Paris (FRA) / Levallois SCTT, Levallois-Perret (FRA)",,,,,,
2004 Summer Olympics,"Singles, Men (Olympic)",,=17,,Patrick Chila,7,FRA,Table Tennis,,Competed in Olympic Games,Male,Patrick•Chila,Patrick•Chila,"27 November 1969 in Ris-Orangis, Essonne (FRA)",,France,180 cm / 73 kg,"AS Pontoise-Cergy TT, Pontoise (FRA) / Royal Villette Charleroi, Charleroi (BEL) / Espérance de Reuilly Tennis de Table, Paris (FRA) / Levallois SCTT, Levallois-Perret (FRA)",,,,,,
2008 Summer Olympics,"Singles, Men (Olympic)",,=49,,Patrick Chila,7,FRA,Table Tennis,,Competed in Olympic Games,Male,Patrick•Chila,Patrick•Chila,"27 November 1969 in Ris-Orangis, Essonne (FRA)",,France,180 cm / 73 kg,"AS Pontoise-Cergy TT, Pontoise (FRA) / Royal Villette Charleroi, Charleroi (BEL) / Espérance de Reuilly Tennis de Table, Paris (FRA) / Levallois SCTT, Levallois-Perret (FRA)",,,,,,
1924 Summer Olympics,"Singles, Men (Olympic)",,2,Silver,Henri Cochet,8,FRA,Tennis,,Competed in Olympic Games,Male,Henri Jean•Cochet,Henri•Cochet,"14 December 1901 in Villeurbanne, Rhône (FRA)","2 April 1987 in Saint-Germain-en-Laye, Yvelines (FRA)",France,,,Le Magicien,,,,,
1924 Summer Olympics,"Doubles, Mixed (Olympic)",Suzanne Lenglen,DNS,,Henri Cochet,8,FRA,Tennis,,Competed in Olympic Games,Male,Henri Jean•Cochet,Henri•Cochet,"14 December 1901 in Villeurbanne, Rhône (FRA)","2 April 1987 in Saint-Germain-en-Laye, Yvelines (FRA)",France,,,Le Magicien,,,,,
1924 Summer Olympics,"Doubles, Men (Olympic)",Jacques Brugnon,2,Silver,Henri Cochet,8,FRA,Tennis,,Competed in Olympic Games,Male,Henri Jean•Cochet,Henri•Cochet,"14 December 1901 in Villeurbanne, Rhône (FRA)","2 April 1987 in Saint-Germain-en-Laye, Yvelines (FRA)",France,,,Le Magicien,,,,,
1924 Summer Olympics,"Singles, Men (Olympic)",,=17,,Marcel Cousin,9,FRA,Tennis,,Competed in Olympic Games,Male,Marcel•Cousin,Marcel•Cousin,"4 August 1896 in Nîmes, Gard (FRA)","1 August 1986 in Nîmes, Gard (FRA)",France,,,,,,,,
1900 Summer Olympics,"Doubles, Men (Olympic)",André Prévost,=3,Bronze,Guy de la Chapelle,10,FRA,Tennis,,Competed in Olympic Games,Male,Luc Henri Hervé Guy•Gardye de la Chapelle,Guy•de la Chapelle,"16 July 1868 in Farges-Allichamps, Cher (FRA)",27 August 1923,France,,,,,,,,
1900 Summer Olympics,"Singles, Handicap, Men (Olympic (non-medal))",,=5,,Guy de la Chapelle,10,FRA,Tennis,,Competed in Olympic Games,Male,Luc Henri Hervé Guy•Gardye de la Chapelle,Guy•de la Chapelle,"16 July 1868 in Farges-Allichamps, Cher (FRA)",27 August 1923,France,,,,,,,,
1900 Summer Olympics,"Doubles, Handicap, Men (Olympic (non-medal))",Gonzalo de Candamo,=3,,Guy de la Chapelle,10,FRA,Tennis,,Competed in Olympic Games,Male,Luc Henri Hervé Guy•Gardye de la Chapelle,Guy•de la Chapelle,"16 July 1868 in Farges-Allichamps, Cher (FRA)",27 August 1923,France,,,,,,,,
1900 Summer Olympics,"Épée, Individual, Men (Olympic)",,AC p1 r3/4,,"Élie, Comte de Lastours",11,FRA,Fencing,,Competed in Olympic Games,Male,Élie Marie Gabriel•Dor de Lastours,"Élie, Comte•de Lastours","12 August 1874 in Orgeval, Yvelines (FRA)","18 November 1932 in Castres, Tarn (FRA)",France,,,,Comte (Count),,,,
1900 Summer Olympics,Tennis,FRA,,,"Élie, Comte de Lastours",11,FRA,Fencing,,Competed in Olympic Games,Male,Élie Marie Gabriel•Dor de Lastours,"Élie, Comte•de Lastours","12 August 1874 in Orgeval, Yvelines (FRA)","18 November 1932 in Castres, Tarn (FRA)",France,,,,Comte (Count),,,,
1900 Summer Olympics,"Doubles, Men (Olympic)","Guy, Baron Lejeune",=5,,"Élie, Comte de Lastours",11,FRA,Fencing,,Competed in Olympic Games,Male,Élie Marie Gabriel•Dor de Lastours,"Élie, Comte•de Lastours","12 August 1874 in Orgeval, Yvelines (FRA)","18 November 1932 in Castres, Tarn (FRA)",France,,,,Comte (Count),,,,
1900 Summer Olympics,"Doubles, Handicap, Mixed (Olympic (non-medal))",Charlotte Cooper,=5,,"Élie, Comte de Lastours",11,FRA,Fencing,,Competed in Olympic Games,Male,Élie Marie Gabriel•Dor de Lastours,"Élie, Comte•de Lastours","12 August 1874 in Orgeval, Yvelines (FRA)","18 November 1932 in Castres, Tarn (FRA)",France,,,,Comte (Count),,,,
1900 Summer Olympics,"Singles, Handicap, Men (Olympic (non-medal))",,=17,,"Élie, Comte de Lastours",11,FRA,Fencing,,Competed in Olympic Games,Male,Élie Marie Gabriel•Dor de Lastours,"Élie, Comte•de Lastours","12 August 1874 in Orgeval, Yvelines (FRA)","18 November 1932 in Castres, Tarn (FRA)",France,,,,Comte (Count),,,,
1900 Summer Olympics,"Doubles, Handicap, Men (Olympic (non-medal))","Guy, Baron Lejeune",=5,,"Élie, Comte de Lastours",11,FRA,Fencing,,Competed in Olympic Games,Male,Élie Marie Gabriel•Dor de Lastours,"Élie, Comte•de Lastours","12 August 1874 in Orgeval, Yvelines (FRA)","18 November 1932 in Castres, Tarn (FRA)",France,,,,Comte (Count),,,,
1900 Summer Olympics,"Singles, Men (Olympic)",,DNS,,Max Decugis,12,FRA,Tennis,,Competed in Olympic Games • Competed in Intercalated Games • Non-starter,Male,"Maxime Omer Mathieu ""Max""•Omer-Decugis",Max•Decugis,"24 September 1882 in Paris XVIe, Paris (FRA)","6 September 1978 in Biot, Alpes-Maritimes (FRA)",France,,Sporting Club de France,,,,,,
1900 Summer Olympics,"Doubles, Men (Olympic)",Spalding de Garmendia,2,Silver,Max Decugis,12,FRA,Tennis,,Competed in Olympic Games • Competed in Intercalated Games • Non-starter,Male,"Maxime Omer Mathieu ""Max""•Omer-Decugis",Max•Decugis,"24 September 1882 in Paris XVIe, Paris (FRA)","6 September 1978 in Biot, Alpes-Maritimes (FRA)",France,,Sporting Club de France,,,,,,
