games,event,team,pos,medal,as,athlete_id,noc,discipline,nationality
1912 Summer Olympics,"Singles, Men (Olympic)",,=17,,Jean-François Blanchy,1,FRA,Tennis,
1912 Summer Olympics,"Doubles, Men (Olympic)",Jean Montariol,DNS,,Jean-François Blanchy,1,FRA,Tennis,
1920 Summer Olympics,"Singles, Men (Olympic)",,=32,,Jean-François Blanchy,1,FRA,Tennis,
1920 Summer Olympics,"Doubles, Mixed (Olympic)",Jeanne Vaussard,=8,,Jean-François Blanchy,1,FRA,Tennis,
1920 Summer Olympics,"Doubles, Men (Olympic)",Jacques Brugnon,4,,Jean-François Blanchy,1,FRA,Tennis,
1996 Summer Olympics,"Singles, Men (Olympic)",,=17,,Arnaud Boetsch,2,FRA,Tennis,
1996 Summer Olympics,"Doubles, Men (Olympic)",Guillaume Raoux,=17,,Arnaud Boetsch,2,FRA,Tennis,
1924 Summer Olympics,"Singles, Men (Olympic)",,4,,Jean Borotra,3,FRA,Tennis,
1924 Summer Olympics,"Doubles, Mixed (Olympic)",Marguerite Billout,=15,,Jean Borotra,3,FRA,Tennis,
1924 Summer Olympics,"Doubles, Men (Olympic)",René Lacoste,3,Bronze,Jean Borotra,3,FRA,Tennis,
1920 Summer Olympics,"Singles, Men (Olympic)",,=9,,Jacques Brugnon,4,FRA,Tennis,
1920 Summer Olympics,"Doubles, Men (Olympic)",Jean-François Blanchy,4,,Jacques Brugnon,4,FRA,Tennis,
1924 Summer Olympics,"Doubles, Men (Olympic)",Henri Cochet,2,Silver,Jacques Brugnon,4,FRA,Tennis,
1912 Summer Olympics,"Singles, Men (Olympic)",,=17,,Albert Canet,5,FRA,Tennis,
1912 Summer Olympics,"Doubles, Mixed (Olympic)",Marguerite Broquedis,3,Bronze,Albert Canet,5,FRA,Tennis,
1912 Summer Olympics,"Doubles, Men (Olympic)",Édouard Mény de Marangue,3,Bronze,Albert Canet,5,FRA,Tennis,
1992 Summer Olympics,"Singles, Men (Olympic)",,=33,,Nicolas Chatelain,6,FRA,Table Tennis,
1992 Summer Olympics,"Doubles, Men (Olympic)",Patrick Chila,=17,,Nicolas Chatelain,6,FRA,Table Tennis,
1992 Summer Olympics,"Doubles, Men (Olympic)",Nicolas Chatelain,=17,,Patrick Chila,7,FRA,Table Tennis,
1996 Summer Olympics,"Singles, Men (Olympic)",,=9,,Patrick Chila,7,FRA,Table Tennis,
1996 Summer Olympics,"Doubles, Men (Olympic)",Christophe Legoût,=9,,Patrick Chila,7,FRA,Table Tennis,
2000 Summer Olympics,"Doubles, Men (Olympic)",Jean-Philippe Gatien,3,Bronze,Patrick Chila,7,FRA,Table Tennis,
2004 Summer Olympics,"Singles, Men (Olympic)",,=17,,Patrick Chila,7,FRA,Table Tennis,
2008 Summer Olympics,"Singles, Men (Olympic)",,=49,,Patrick Chila,7,FRA,Table Tennis,
1924 Summer Olympics,"Singles, Men (Olympic)",,2,Silver,Henri Cochet,8,FRA,Tennis,
1924 Summer Olympics,"Doubles, Mixed (Olympic)",Suzanne Lenglen,DNS,,Henri Cochet,8,FRA,Tennis,
1924 Summer Olympics,"Doubles, Men (Olympic)",Jacques Brugnon,2,Silver,Henri Cochet,8,FRA,Tennis,
1924 Summer Olympics,"Singles, Men (Olympic)",,=17,,Marcel Cousin,9,FRA,Tennis,
